Category,Content
poem,Se o fim entrasse em minha vista.
poem,Entre risos perguntando “do que se trata?”.
poem,"Puto, velho, vigarista!."
poem,Por que não logo que tu me mata?.
poem,Queima-me a pele e escalda-me a cabeça.
poem,"Gargalhadas satânicas a exalar..
Não culpo a mim mesmo, pois eu que mereça."
poem,Mas tão bom é meu peito para mutilar?.
poem,Atordoa-me até as últimas instâncias;.
poem,"Alicates e unhas a se encontrar..
Minha mente delira a mil distâncias."
poem,O que quer a morte me mostrar?.
poem,Às vezes penso que nada espera.
poem,O desarmado caminhante para sempre a caminhar.
poem,"Puro tronco e cabeça, vara e esfera."
poem,Miserável e sedento não pode descansar.
poem,"E quando pôde, num dia distante,."
poem,O desgraçado caminhante se libertar.
poem,Tomou-lhe a cabeça o demônio falante.
poem,“Felicidade?
poem,Alegria?
poem,Vamos apartar”.
poem,No negro se foi o mais puro semblante.
poem,"Em águas turvas e densas não parou de cair..
Manchado e rasgado, irreconhecível caminhante;."
poem,"Não souberam que era ele quando voltou a emergir..

Ao escuro voltou, solitário viajante."
poem,"Sem risos, abraços, amores a ter."
poem,"Incompreensível estado, culpa andante e errante."
poem,"A própria cabeça voltou a bater..

Arremessava-se vivo em espinhos e lanças."
poem,"Todas elas a carne a lhe perfurar..
Si próprio olhava, buscando a lembrança."
poem,"Como pôde, tudo aquilo, simplesmente estragar?."
poem,"Maldisse os corvos, o demônio e a morte."
poem,A ira sentia em sua pele queimar.
poem,Que lhe há de ter feito para roubarem-lhe a sorte?.
poem,"Queria o homem a si mesmo apagar..

Sumir deste mundo, sem deixar rastro;."
poem,"Toda a dor que causou a evaporar..
“Idiota, burro louco, está preso ao mastro!”."
poem,"Seu destino é eterno; eternamente a navegar..

Que fez o coitado, mero simples sonhador?."
poem,"Aos demônios sentados àquela ocasião..
Riram-lhe à face, causaram-lhe dor..
Fora feito, por azar, da desgraça a diversão..

                
                
                
                
                
                
                                
 July 21st, 2016 10:38pm 
textos
poema

 Queima-me a pele e escalda-me a cabeça."
